ts,coin,source,regime_prevu,ret7_realise,correct,brier
2026-07-05T12:17:34.856179+00:00,HMSTR,tendance,haussier,0.0023,1,0.16
2026-07-06T17:22:21.964693+00:00,BLUR,tendance,haussier,-0.0269,0,0.36
2026-07-06T19:16:48.706689+00:00,HMSTR,tendance,haussier,-0.0269,0,0.36
2026-07-07T15:51:03.604365+00:00,BANANA,tendance,haussier,0.026,1,0.16
2026-07-07T20:15:02.290909+00:00,HMSTR,tendance,haussier,0.026,1,0.16
2026-07-07T21:45:25.791753+00:00,GRASS,tendance,haussier,0.026,1,0.16
2026-07-09T07:02:05.205427+00:00,VINE,tendance,haussier,0.0152,1,0.16
2026-07-10T11:34:37.335594+00:00,SYRUP,tendance,haussier,-0.0035,0,0.36
2026-07-11T21:51:16.191877+00:00,CASHCAT,tendance,haussier,0.0157,1,0.16
2026-07-12T22:51:06.386189+00:00,CASHCAT,tendance,haussier,0.0147,1,0.16
2026-07-17T09:17:54.483657+00:00,KAITO,tendance,baissier,0.0038,0,0.36
2026-07-17T10:59:31.268925+00:00,CASHCAT,tendance,baissier,0.0033,0,0.36
2026-07-18T20:30:52.833564+00:00,CASHCAT,tendance,haussier,-0.0072,0,0.36
2026-07-19T22:28:28.799274+00:00,CASHCAT,tendance,haussier,0.01,1,0.16
2026-07-19T23:01:13.197584+00:00,ACE,tendance,haussier,0.01,1,0.16
2026-07-20T00:15:46.375844+00:00,PUMP,tendance,haussier,-0.0228,0,0.36
2026-07-20T15:31:08.768074+00:00,HEMI,tendance,haussier,-0.0228,0,0.36
2026-07-20T20:30:56.528871+00:00,MET,tendance,haussier,-0.0228,0,0.36
2026-07-20T23:15:41.307364+00:00,ACE,tendance,haussier,-0.0228,0,0.36
2026-07-21T06:01:01.458100+00:00,CASHCAT,tendance,haussier,-0.0394,0,0.36
