ts,coin,move_pct,ret7_piece,regime_ia,conf_ia,source,decision
2026-07-03T15:33:50.802102+00:00,XPL,22.27,0.085,,,tendance_piece,MOM
2026-07-03T15:33:51.390327+00:00,POPCAT,18.15,0.1519,,,tendance_piece,MOM
2026-07-03T15:33:51.390327+00:00,FARTCOIN,15.02,0.335,,,tendance_piece,MOM
2026-07-03T15:33:51.390327+00:00,SPX,10.29,0.2532,,,tendance_piece,MOM
2026-07-03T15:33:51.390327+00:00,S,13.61,0.3207,,,tendance_piece,MOM
2026-07-03T15:33:51.390327+00:00,XPL,22.27,0.085,,,tendance_piece,MOM
2026-07-03T17:04:07.115565+00:00,WLD,11.54,-0.0761,,,tendance_piece,REV
2026-07-03T17:04:07.115565+00:00,ETHFI,11.46,0.0191,,,defaut,REV
2026-07-03T18:39:31.619735+00:00,ADA,12.86,0.2149,,,tendance_piece,MOM
2026-07-03T20:04:24.929122+00:00,GRASS,10.47,0.1214,,,tendance_piece,MOM
2026-07-03T21:32:01.628578+00:00,KPEPE,13.22,,,,defaut,REV
2026-07-03T22:42:12.244670+00:00,KBONK,13.25,,,,defaut,REV
2026-07-04T03:18:19.699553+00:00,HMSTR,55.98,0.5598,,,tendance_piece,MOM
2026-07-04T03:18:20.315904+00:00,HMSTR,55.98,0.5598,,,tendance_piece,MOM
2026-07-04T06:35:04.459004+00:00,MEGA,10.4,0.1512,,,tendance_piece,MOM
2026-07-04T11:01:02.846635+00:00,VVV,-12.23,,reversion,0.55,ia_piece,REV
2026-07-04T12:18:21.423938+00:00,LIT,10.07,0.2934,,,tendance_piece,MOM
2026-07-04T17:46:52.954768+00:00,ETHFI,14.5,0.2338,,,tendance_piece,MOM
2026-07-04T17:46:52.954768+00:00,AERO,10.11,,momentum,0.55,ia_piece,MOM
2026-07-04T21:31:25.551931+00:00,EIGEN,10.53,-0.005,,,defaut,REV
2026-07-05T12:17:35.366886+00:00,HMSTR,-20.94,,reversion,0.55,ia_piece,REV
2026-07-05T12:17:35.775515+00:00,HMSTR,-20.94,,reversion,0.55,ia_piece,REV
2026-07-05T15:47:27.179626+00:00,LIT,10.29,,reversion,0.55,ia_piece,REV
2026-07-06T05:58:01.488898+00:00,TRB,15.59,0.332,,,tendance_piece,MOM
