ts,bot,coin,action,side,notional_usd,mark,resp,pnl_est_usd
2026-07-11T18:36:03.800897+00:00,27f10_selecteur,GRASS,open,-1,32.1,0.40233,ok,
2026-07-11T18:36:03.800897+00:00,27f10_selecteur,LIT,open,1,32.1,2.6706,ok,
2026-07-11T18:36:03.800897+00:00,27f10_selecteur,KAITO,open,1,32.1,0.68595,ok,
2026-07-11T18:36:03.800897+00:00,27f10_selecteur,VIRTUAL,open,-1,32.1,0.60766,ok,
2026-07-11T18:36:03.800897+00:00,27f10_selecteur,CASHCAT,open,-1,32.1,0.20596,ok,
2026-07-11T18:36:03.800897+00:00,27g10_selecteur,CASHCAT,open,-1,53.5,0.20596,ok,
2026-07-11T19:07:55.001664+00:00,27f10_selecteur,GRASS,REJET,-1,32.1,0.40536,Order has invalid size.,
2026-07-11T19:07:55.001664+00:00,27f10_selecteur,LIT,REJET,1,32.1,2.6507,Order has invalid size.,
2026-07-11T19:07:55.001664+00:00,27f10_selecteur,KAITO,REJET,1,32.1,0.67493,Order has invalid size.,
2026-07-11T19:07:55.001664+00:00,27f10_selecteur,VIRTUAL,REJET,-1,32.1,0.6063,Order has invalid size.,
2026-07-11T19:07:55.001664+00:00,27f10_selecteur,CASHCAT,REJET,-1,32.1,0.189575,Order has invalid size.,
2026-07-11T19:07:55.001664+00:00,27g10_selecteur,CASHCAT,REJET,-1,53.5,0.189575,Order has invalid size.,
2026-07-11T19:11:56.055476+00:00,27f10_selecteur,GRASS,REJET,-1,32.1,0.40395,Order has invalid size.,
2026-07-11T19:11:56.055476+00:00,27f10_selecteur,LIT,REJET,1,32.1,2.6747,Order has invalid size.,
2026-07-11T19:11:56.055476+00:00,27f10_selecteur,KAITO,REJET,1,32.1,0.6743,Order has invalid size.,
2026-07-11T19:11:56.055476+00:00,27f10_selecteur,VIRTUAL,REJET,-1,32.1,0.60785,Order has invalid size.,
2026-07-11T19:11:56.055476+00:00,27f10_selecteur,CASHCAT,REJET,-1,32.1,0.190005,Order has invalid size.,
2026-07-11T19:11:56.055476+00:00,27g10_selecteur,CASHCAT,REJET,-1,53.5,0.190005,Order has invalid size.,
